fac1,fac2,cite
http://vivo.brown.edu/individual/igareen,http://vivo.brown.edu/individual/cgatsoni,http://vivo.brown.edu/individual/n90780
http://vivo.brown.edu/individual/cgatsoni,http://vivo.brown.edu/individual/igareen,http://vivo.brown.edu/individual/n90780
http://vivo.brown.edu/individual/sswartz,http://vivo.brown.edu/individual/kbreuer,http://vivo.brown.edu/individual/n22977
http://vivo.brown.edu/individual/kbreuer,http://vivo.brown.edu/individual/sswartz,http://vivo.brown.edu/individual/n22977
http://vivo.brown.edu/individual/jdonoghu,http://vivo.brown.edu/individual/lhochber,http://vivo.brown.edu/individual/n45139
http://vivo.brown.edu/individual/lhochber,http://vivo.brown.edu/individual/jdonoghu,http://vivo.brown.edu/individual/n45139
http://vivo.brown.edu/individual/drohseno,http://vivo.brown.edu/individual/rbrownph,http://vivo.brown.edu/individual/n62976
http://vivo.brown.edu/individual/drohseno,http://vivo.brown.edu/individual/pmonti,http://vivo.brown.edu/individual/n62976
http://vivo.brown.edu/individual/rbrownph,http://vivo.brown.edu/individual/drohseno,http://vivo.brown.edu/individual/n62976
http://vivo.brown.edu/individual/rbrownph,http://vivo.brown.edu/individual/pmonti,http://vivo.brown.edu/individual/n62976
http://vivo.brown.edu/individual/pmonti,http://vivo.brown.edu/individual/drohseno,http://vivo.brown.edu/individual/n62976
http://vivo.brown.edu/individual/pmonti,http://vivo.brown.edu/individual/rbrownph,http://vivo.brown.edu/individual/n62976
http://vivo.brown.edu/individual/dwazermd,http://vivo.brown.edu/individual/cschmid,http://vivo.brown.edu/individual/n69778
http://vivo.brown.edu/individual/cschmid,http://vivo.brown.edu/individual/dwazermd,http://vivo.brown.edu/individual/n69778
http://vivo.brown.edu/individual/dsteelem,http://vivo.brown.edu/individual/ttrikali,http://vivo.brown.edu/individual/n57849
http://vivo.brown.edu/individual/ttrikali,http://vivo.brown.edu/individual/dsteelem,http://vivo.brown.edu/individual/n57849
http://vivo.brown.edu/individual/mcarskad,http://vivo.brown.edu/individual/kmsharke,http://vivo.brown.edu/individual/n27514
http://vivo.brown.edu/individual/kmsharke,http://vivo.brown.edu/individual/mcarskad,http://vivo.brown.edu/individual/n27514
http://vivo.brown.edu/individual/bborsari,http://vivo.brown.edu/individual/kc11,http://vivo.brown.edu/individual/n34888
http://vivo.brown.edu/individual/kc11,http://vivo.brown.edu/individual/bborsari,http://vivo.brown.edu/individual/n34888
http://vivo.brown.edu/individual/auzun,http://vivo.brown.edu/individual/jpadbury,http://vivo.brown.edu/individual/n56530
http://vivo.brown.edu/individual/jpadbury,http://vivo.brown.edu/individual/auzun,http://vivo.brown.edu/individual/n56530
http://vivo.brown.edu/individual/vmor,http://vivo.brown.edu/individual/smillerp,http://vivo.brown.edu/individual/n28473
http://vivo.brown.edu/individual/smillerp,http://vivo.brown.edu/individual/vmor,http://vivo.brown.edu/individual/n28473
http://vivo.brown.edu/individual/jrichmph,http://vivo.brown.edu/individual/ccunha,http://vivo.brown.edu/individual/n85323
http://vivo.brown.edu/individual/ccunha,http://vivo.brown.edu/individual/jrichmph,http://vivo.brown.edu/individual/n85323
http://vivo.brown.edu/individual/zjwu,http://vivo.brown.edu/individual/smcgarve,http://vivo.brown.edu/individual/n79416
http://vivo.brown.edu/individual/smcgarve,http://vivo.brown.edu/individual/zjwu,http://vivo.brown.edu/individual/n79416
http://vivo.brown.edu/individual/jtidey,http://vivo.brown.edu/individual/vknopik,http://vivo.brown.edu/individual/n75470
http://vivo.brown.edu/individual/jtidey,http://vivo.brown.edu/individual/ckahlerm,http://vivo.brown.edu/individual/n75470
http://vivo.brown.edu/individual/jtidey,http://vivo.brown.edu/individual/drohseno,http://vivo.brown.edu/individual/n75470
http://vivo.brown.edu/individual/vknopik,http://vivo.brown.edu/individual/jtidey,http://vivo.brown.edu/individual/n75470
http://vivo.brown.edu/individual/vknopik,http://vivo.brown.edu/individual/ckahlerm,http://vivo.brown.edu/individual/n75470
http://vivo.brown.edu/individual/vknopik,http://vivo.brown.edu/individual/drohseno,http://vivo.brown.edu/individual/n75470
http://vivo.brown.edu/individual/ckahlerm,http://vivo.brown.edu/individual/jtidey,http://vivo.brown.edu/individual/n75470
http://vivo.brown.edu/individual/ckahlerm,http://vivo.brown.edu/individual/vknopik,http://vivo.brown.edu/individual/n75470
http://vivo.brown.edu/individual/ckahlerm,http://vivo.brown.edu/individual/drohseno,http://vivo.brown.edu/individual/n75470
http://vivo.brown.edu/individual/drohseno,http://vivo.brown.edu/individual/jtidey,http://vivo.brown.edu/individual/n75470
http://vivo.brown.edu/individual/drohseno,http://vivo.brown.edu/individual/vknopik,http://vivo.brown.edu/individual/n75470
http://vivo.brown.edu/individual/drohseno,http://vivo.brown.edu/individual/ckahlerm,http://vivo.brown.edu/individual/n75470
http://vivo.brown.edu/individual/gjaymdph,http://vivo.brown.edu/individual/foverlym,http://vivo.brown.edu/individual/n67297
http://vivo.brown.edu/individual/foverlym,http://vivo.brown.edu/individual/gjaymdph,http://vivo.brown.edu/individual/n67297
http://vivo.brown.edu/individual/agardner,http://vivo.brown.edu/individual/ejcarter,http://vivo.brown.edu/individual/n71663
http://vivo.brown.edu/individual/ejcarter,http://vivo.brown.edu/individual/agardner,http://vivo.brown.edu/individual/n71663
http://vivo.brown.edu/individual/rswiftmd,http://vivo.brown.edu/individual/chaassko,http://vivo.brown.edu/individual/n44046
http://vivo.brown.edu/individual/chaassko,http://vivo.brown.edu/individual/rswiftmd,http://vivo.brown.edu/individual/n44046
http://vivo.brown.edu/individual/sallen,http://vivo.brown.edu/individual/lresnikp,http://vivo.brown.edu/individual/n2400
http://vivo.brown.edu/individual/lresnikp,http://vivo.brown.edu/individual/sallen,http://vivo.brown.edu/individual/n2400
http://vivo.brown.edu/individual/srasmuss,http://vivo.brown.edu/individual/bdgreenb,http://vivo.brown.edu/individual/n93526
http://vivo.brown.edu/individual/bdgreenb,http://vivo.brown.edu/individual/srasmuss,http://vivo.brown.edu/individual/n93526
http://vivo.brown.edu/individual/aamin,http://vivo.brown.edu/individual/gpareek,http://vivo.brown.edu/individual/n15217
http://vivo.brown.edu/individual/gpareek,http://vivo.brown.edu/individual/aamin,http://vivo.brown.edu/individual/n15217
http://vivo.brown.edu/individual/tpearlst,http://vivo.brown.edu/individual/asalisbu,http://vivo.brown.edu/individual/n20694
http://vivo.brown.edu/individual/asalisbu,http://vivo.brown.edu/individual/tpearlst,http://vivo.brown.edu/individual/n20694
http://vivo.brown.edu/individual/scruiksh,http://vivo.brown.edu/individual/bconnors,http://vivo.brown.edu/individual/n54246
http://vivo.brown.edu/individual/bconnors,http://vivo.brown.edu/individual/scruiksh,http://vivo.brown.edu/individual/n54246
http://vivo.brown.edu/individual/jvandenb,http://vivo.brown.edu/individual/arana,http://vivo.brown.edu/individual/n41656
http://vivo.brown.edu/individual/arana,http://vivo.brown.edu/individual/jvandenb,http://vivo.brown.edu/individual/n41656
http://vivo.brown.edu/individual/mcarskad,http://vivo.brown.edu/individual/kmsharke,http://vivo.brown.edu/individual/n80987
http://vivo.brown.edu/individual/kmsharke,http://vivo.brown.edu/individual/mcarskad,http://vivo.brown.edu/individual/n80987
http://vivo.brown.edu/individual/lbrownmd,http://vivo.brown.edu/individual/mpcarey,http://vivo.brown.edu/individual/n8301
http://vivo.brown.edu/individual/mpcarey,http://vivo.brown.edu/individual/lbrownmd,http://vivo.brown.edu/individual/n8301
http://vivo.brown.edu/individual/ckahlerm,http://vivo.brown.edu/individual/rbrownph,http://vivo.brown.edu/individual/n31623
http://vivo.brown.edu/individual/rbrownph,http://vivo.brown.edu/individual/ckahlerm,http://vivo.brown.edu/individual/n31623
http://vivo.brown.edu/individual/rswiftmd,http://vivo.brown.edu/individual/chaassko,http://vivo.brown.edu/individual/n28532
http://vivo.brown.edu/individual/rswiftmd,http://vivo.brown.edu/individual/gkenna,http://vivo.brown.edu/individual/n28532
http://vivo.brown.edu/individual/chaassko,http://vivo.brown.edu/individual/rswiftmd,http://vivo.brown.edu/individual/n28532
http://vivo.brown.edu/individual/chaassko,http://vivo.brown.edu/individual/gkenna,http://vivo.brown.edu/individual/n28532
http://vivo.brown.edu/individual/gkenna,http://vivo.brown.edu/individual/rswiftmd,http://vivo.brown.edu/individual/n28532
http://vivo.brown.edu/individual/gkenna,http://vivo.brown.edu/individual/chaassko,http://vivo.brown.edu/individual/n28532
http://vivo.brown.edu/individual/srasmuss,http://vivo.brown.edu/individual/lcarpent,http://vivo.brown.edu/individual/n72289
http://vivo.brown.edu/individual/srasmuss,http://vivo.brown.edu/individual/lpricemd,http://vivo.brown.edu/individual/n72289
http://vivo.brown.edu/individual/srasmuss,http://vivo.brown.edu/individual/bdgreenb,http://vivo.brown.edu/individual/n72289
http://vivo.brown.edu/individual/lcarpent,http://vivo.brown.edu/individual/srasmuss,http://vivo.brown.edu/individual/n72289
http://vivo.brown.edu/individual/lcarpent,http://vivo.brown.edu/individual/lpricemd,http://vivo.brown.edu/individual/n72289
http://vivo.brown.edu/individual/lcarpent,http://vivo.brown.edu/individual/bdgreenb,http://vivo.brown.edu/individual/n72289
http://vivo.brown.edu/individual/lpricemd,http://vivo.brown.edu/individual/srasmuss,http://vivo.brown.edu/individual/n72289
http://vivo.brown.edu/individual/lpricemd,http://vivo.brown.edu/individual/lcarpent,http://vivo.brown.edu/individual/n72289
http://vivo.brown.edu/individual/lpricemd,http://vivo.brown.edu/individual/bdgreenb,http://vivo.brown.edu/individual/n72289
http://vivo.brown.edu/individual/bdgreenb,http://vivo.brown.edu/individual/srasmuss,http://vivo.brown.edu/individual/n72289
http://vivo.brown.edu/individual/bdgreenb,http://vivo.brown.edu/individual/lcarpent,http://vivo.brown.edu/individual/n72289
http://vivo.brown.edu/individual/bdgreenb,http://vivo.brown.edu/individual/lpricemd,http://vivo.brown.edu/individual/n72289
http://vivo.brown.edu/individual/dmwillia,http://vivo.brown.edu/individual/bbockphd,http://vivo.brown.edu/individual/n71821
http://vivo.brown.edu/individual/dmwillia,http://vivo.brown.edu/individual/gpapando,http://vivo.brown.edu/individual/n71821
http://vivo.brown.edu/individual/bbockphd,http://vivo.brown.edu/individual/dmwillia,http://vivo.brown.edu/individual/n71821
http://vivo.brown.edu/individual/bbockphd,http://vivo.brown.edu/individual/gpapando,http://vivo.brown.edu/individual/n71821
http://vivo.brown.edu/individual/gpapando,http://vivo.brown.edu/individual/dmwillia,http://vivo.brown.edu/individual/n71821
http://vivo.brown.edu/individual/gpapando,http://vivo.brown.edu/individual/bbockphd,http://vivo.brown.edu/individual/n71821
http://vivo.brown.edu/individual/lbrownmd,http://vivo.brown.edu/individual/dhbarker,http://vivo.brown.edu/individual/n92148
http://vivo.brown.edu/individual/dhbarker,http://vivo.brown.edu/individual/lbrownmd,http://vivo.brown.edu/individual/n92148
http://vivo.brown.edu/individual/bborsari,http://vivo.brown.edu/individual/nbarnett,http://vivo.brown.edu/individual/n30757
http://vivo.brown.edu/individual/nbarnett,http://vivo.brown.edu/individual/bborsari,http://vivo.brown.edu/individual/n30757
http://vivo.brown.edu/individual/sallen,http://vivo.brown.edu/individual/lresnikp,http://vivo.brown.edu/individual/n16871
http://vivo.brown.edu/individual/lresnikp,http://vivo.brown.edu/individual/sallen,http://vivo.brown.edu/individual/n16871
http://vivo.brown.edu/individual/vknopik,http://vivo.brown.edu/individual/jpadbury,http://vivo.brown.edu/individual/n88164
http://vivo.brown.edu/individual/jpadbury,http://vivo.brown.edu/individual/vknopik,http://vivo.brown.edu/individual/n88164
http://vivo.brown.edu/individual/kc11,http://vivo.brown.edu/individual/mpcarey,http://vivo.brown.edu/individual/n20539
http://vivo.brown.edu/individual/mpcarey,http://vivo.brown.edu/individual/kc11,http://vivo.brown.edu/individual/n20539
http://vivo.brown.edu/individual/ckahlerm,http://vivo.brown.edu/individual/drohseno,http://vivo.brown.edu/individual/n66178
http://vivo.brown.edu/individual/drohseno,http://vivo.brown.edu/individual/ckahlerm,http://vivo.brown.edu/individual/n66178
http://vivo.brown.edu/individual/ckahlerm,http://vivo.brown.edu/individual/drohseno,http://vivo.brown.edu/individual/n64934
http://vivo.brown.edu/individual/drohseno,http://vivo.brown.edu/individual/ckahlerm,http://vivo.brown.edu/individual/n64934
http://vivo.brown.edu/individual/tsenn,http://vivo.brown.edu/individual/mpcarey,http://vivo.brown.edu/individual/n49242
http://vivo.brown.edu/individual/mpcarey,http://vivo.brown.edu/individual/tsenn,http://vivo.brown.edu/individual/n49242
http://vivo.brown.edu/individual/jpadbury,http://vivo.brown.edu/individual/ktkelsey,http://vivo.brown.edu/individual/n82148
http://vivo.brown.edu/individual/ktkelsey,http://vivo.brown.edu/individual/jpadbury,http://vivo.brown.edu/individual/n82148
http://vivo.brown.edu/individual/gchoudha,http://vivo.brown.edu/individual/jklinger,http://vivo.brown.edu/individual/n84153
http://vivo.brown.edu/individual/gchoudha,http://vivo.brown.edu/individual/eoharrin,http://vivo.brown.edu/individual/n84153
http://vivo.brown.edu/individual/jklinger,http://vivo.brown.edu/individual/gchoudha,http://vivo.brown.edu/individual/n84153
http://vivo.brown.edu/individual/jklinger,http://vivo.brown.edu/individual/eoharrin,http://vivo.brown.edu/individual/n84153
http://vivo.brown.edu/individual/eoharrin,http://vivo.brown.edu/individual/gchoudha,http://vivo.brown.edu/individual/n84153
http://vivo.brown.edu/individual/eoharrin,http://vivo.brown.edu/individual/jklinger,http://vivo.brown.edu/individual/n84153
http://vivo.brown.edu/individual/jsedivy,http://vivo.brown.edu/individual/rburwell,http://vivo.brown.edu/individual/n10979
http://vivo.brown.edu/individual/rburwell,http://vivo.brown.edu/individual/jsedivy,http://vivo.brown.edu/individual/n10979
http://vivo.brown.edu/individual/kc11,http://vivo.brown.edu/individual/mpcarey,http://vivo.brown.edu/individual/n19750
http://vivo.brown.edu/individual/mpcarey,http://vivo.brown.edu/individual/kc11,http://vivo.brown.edu/individual/n19750
http://vivo.brown.edu/individual/qilu,http://vivo.brown.edu/individual/eoharrin,http://vivo.brown.edu/individual/n81912
