id,last,first,label,title
http://vivo.brown.edu/individual/mbublitz,Bublitz,Margaret,"Bublitz, Margaret","Assistant Professor of Psychiatry and Human Behavior (Research),  Assistant Professor of Medicine (Research)"
http://vivo.brown.edu/individual/elbloom,Bloom,Erika,"Bloom, Erika","Assistant Professor of Psychiatry and Human Behavior (Research),  Assistant Professor of Medicine (Research)"
http://vivo.brown.edu/individual/rdufresn,Dufresne,Raymond,"Dufresne, Raymond",Professor of Dermatology
http://vivo.brown.edu/individual/lbercovi,Bercovitch,Lionel,"Bercovitch, Lionel",Professor of Dermatology
http://vivo.brown.edu/individual/lrobinso,Robinson-Bostom,Leslie,"Robinson-Bostom, Leslie",Professor of Dermatology
http://vivo.brown.edu/individual/jheadiii,Head,James,"Head, James",Louis and Elizabeth Scherck Distinguished Professor of the Geological Sciences
http://vivo.brown.edu/individual/jemigh,Emigh,John,"Emigh, John","Adjunct Professor of Theatre Arts and Performance Studies,  Professor Emeritus of Theatre Arts and Performance Studies and English"
http://vivo.brown.edu/individual/emcquaid,McQuaid,Elizabeth,"McQuaid, Elizabeth","Professor of Psychiatry and Human Behavior (Research),  Professor of Pediatrics (Research)"
http://vivo.brown.edu/individual/balverso,Alverson,Brian,"Alverson, Brian","Associate Professor of Pediatrics,  Associate Professor of Medical Science"
http://vivo.brown.edu/individual/breginst,Reginster,Bernard,"Reginster, Bernard","Professor of Philosophy,  Chair in Philosophy"
http://vivo.brown.edu/individual/rhaasmd,Haas,Richard,"Haas, Richard","Associate Professor of Diagnostic Imaging (Clinical),  Associate Professor of Neurosurgery (Clinical)"
http://vivo.brown.edu/individual/kgoodman,Goodman,Katherine,"Goodman, Katherine",Professor Emerita of German Studies
http://vivo.brown.edu/individual/cpoore,Poore,Carol,"Poore, Carol",Professor Emerita of German Studies
http://vivo.brown.edu/individual/ck5,Kerr,Catherine,"Kerr, Catherine","Assistant Professor of Family Medicine (Research),  Assistant Professor of Medicine (Research)"
