fac1,fac2,c,dpt
http://vivo.brown.edu/individual/bborrell,http://vivo.brown.edu/individual/ckahlerm,1,http://vivo.brown.edu/individual/org-brown-univ-dept264
http://vivo.brown.edu/individual/bborrell,http://vivo.brown.edu/individual/abusch,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/bborrell,http://vivo.brown.edu/individual/jarrighi,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/bborsari,http://vivo.brown.edu/individual/pmonti,14,http://vivo.brown.edu/individual/org-brown-univ-dept224
http://vivo.brown.edu/individual/bborsari,http://vivo.brown.edu/individual/nbarnett,16,http://vivo.brown.edu/individual/org-brown-univ-dept264
http://vivo.brown.edu/individual/bborsari,http://vivo.brown.edu/individual/kc11,17,http://vivo.brown.edu/individual/org-brown-univ-dept264
http://vivo.brown.edu/individual/bborsari,http://vivo.brown.edu/individual/mpcarey,2,http://vivo.brown.edu/individual/org-brown-univ-dept280
http://vivo.brown.edu/individual/bborsari,http://vivo.brown.edu/individual/ckahlerm,7,http://vivo.brown.edu/individual/org-brown-univ-dept264
http://vivo.brown.edu/individual/bdgreenb,http://vivo.brown.edu/individual/ac67,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/bdgreenb,http://vivo.brown.edu/individual/cboissea,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/bdgreenb,http://vivo.brown.edu/individual/nsibrava,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/bdgreenb,http://vivo.brown.edu/individual/rbrownph,2,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/bdgreenb,http://vivo.brown.edu/individual/lpricemd,3,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/bdgreenb,http://vivo.brown.edu/individual/srasmuss,49,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/bdgreenb,http://vivo.brown.edu/individual/lcarpent,5,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/bgaudian,http://vivo.brown.edu/individual/lweinsto,12,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/bgaudian,http://vivo.brown.edu/individual/abusch,2,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/bgaudian,http://vivo.brown.edu/individual/emoitra,2,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/bgaudian,http://vivo.brown.edu/individual/rkohnmd,2,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/bgcase,http://vivo.brown.edu/individual/aspirito,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/bgcase,http://vivo.brown.edu/individual/lpricemd,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/bgcase,http://vivo.brown.edu/individual/lweinsto,3,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/bgcase,http://vivo.brown.edu/individual/syenphd,3,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/cboissea,http://vivo.brown.edu/individual/bdgreenb,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/cboissea,http://vivo.brown.edu/individual/nsibrava,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/cboissea,http://vivo.brown.edu/individual/syenphd,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/cboissea,http://vivo.brown.edu/individual/srasmuss,3,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/cconelea,http://vivo.brown.edu/individual/abusch,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/chaassko,http://vivo.brown.edu/individual/gkenna,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/chaassko,http://vivo.brown.edu/individual/rswiftmd,6,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/chart,http://vivo.brown.edu/individual/dhbarker,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/chart,http://vivo.brown.edu/individual/rnjones,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/chart,http://vivo.brown.edu/individual/kmsharke,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/chart,http://vivo.brown.edu/individual/ejelalia,18,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/chart,http://vivo.brown.edu/individual/smcgarve,2,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/chart,http://vivo.brown.edu/individual/mcarskad,2,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/chart,http://vivo.brown.edu/individual/aspirito,4,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/cloncarp,http://vivo.brown.edu/individual/llagasse,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/dhbarker,http://vivo.brown.edu/individual/chart,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/dhbarker,http://vivo.brown.edu/individual/kmsharke,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/dhbarker,http://vivo.brown.edu/individual/mpcarey,2,http://vivo.brown.edu/individual/org-brown-univ-dept280
http://vivo.brown.edu/individual/dhbarker,http://vivo.brown.edu/individual/ejelalia,3,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/dhbarker,http://vivo.brown.edu/individual/mcarskad,3,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/dhbarker,http://vivo.brown.edu/individual/lbrownmd,7,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/dlichten,http://vivo.brown.edu/individual/sb38,1,http://vivo.brown.edu/individual/org-brown-univ-dept264
http://vivo.brown.edu/individual/dlichten,http://vivo.brown.edu/individual/aspirito,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/dlichten,http://vivo.brown.edu/individual/jw33,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/dmwillia,http://vivo.brown.edu/individual/bbockphd,20,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/dmwillia,http://vivo.brown.edu/individual/jhogansc,4,http://vivo.brown.edu/individual/org-brown-univ-dept250
http://vivo.brown.edu/individual/dmwillia,http://vivo.brown.edu/individual/ogalarra,4,http://vivo.brown.edu/individual/org-brown-univ-dept263
http://vivo.brown.edu/individual/dmwillia,http://vivo.brown.edu/individual/pmonti,8,http://vivo.brown.edu/individual/org-brown-univ-dept224
http://vivo.brown.edu/individual/dmwillia,http://vivo.brown.edu/individual/gpapando,8,http://vivo.brown.edu/individual/org-brown-univ-dept262
http://vivo.brown.edu/individual/dsherman,http://vivo.brown.edu/individual/emoitra,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/dsherman,http://vivo.brown.edu/individual/rbrownph,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/dsherman,http://vivo.brown.edu/individual/msteinm,3,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/ejelalia,http://vivo.brown.edu/individual/mcarskad,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/ejelalia,http://vivo.brown.edu/individual/chart,18,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/ejelalia,http://vivo.brown.edu/individual/aspirito,3,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/ejelalia,http://vivo.brown.edu/individual/dhbarker,3,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/emcquaid,http://vivo.brown.edu/individual/juburton,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/emmorrow,http://vivo.brown.edu/individual/jquintos,2,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/emmorrow,http://vivo.brown.edu/individual/jkauer,2,http://vivo.brown.edu/individual/org-brown-univ-dept55
http://vivo.brown.edu/individual/emmorrow,http://vivo.brown.edu/individual/rnjones,2,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/emmorrow,http://vivo.brown.edu/individual/ssheinko,4,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/emmorrow,http://vivo.brown.edu/individual/rm4,6,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/emoitra,http://vivo.brown.edu/individual/bgaudian,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/emoitra,http://vivo.brown.edu/individual/dsherman,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/emoitra,http://vivo.brown.edu/individual/ma1,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/emoitra,http://vivo.brown.edu/individual/rbrownph,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
